acct_0000,acct_0001,1174.65,2023-03-28 00:00:00,merch_0123
acct_0000,acct_0004,1785.78,2024-07-16 00:00:00,merch_0125
acct_0000,acct_0006,1120.04,2025-03-25 00:00:00,merch_0056
acct_0000,acct_0007,430.84,2025-12-12 00:00:00,merch_0108
acct_0001,acct_0000,1173.38,2025-10-26 00:00:00,merch_0088
acct_0001,acct_0003,514.64,2023-09-04 00:00:00,merch_0178
acct_0001,acct_0004,768.17,2023-01-18 00:00:00,merch_0003
acct_0001,acct_0005,882.97,2023-07-26 00:00:00,merch_0083
acct_0001,acct_0007,536.87,2024-06-22 00:00:00,merch_0060
acct_0002,acct_0001,817.57,2024-01-12 00:00:00,merch_0127
acct_0002,acct_0003,954.37,2025-02-01 00:00:00,merch_0093
acct_0002,acct_0004,703.33,2024-01-04 00:00:00,merch_0146
acct_0002,acct_0006,611.42,2023-07-24 00:00:00,merch_0184
acct_0003,acct_0001,885.59,2023-10-26 00:00:00,merch_0189
acct_0003,acct_0004,517.89,2025-10-20 00:00:00,merch_0034
acct_0003,acct_0005,1728.9,2025-11-24 00:00:00,merch_0136
acct_0003,acct_0006,1613.6,2024-09-06 00:00:00,merch_0064
acct_0003,acct_0007,1222.1,2025-03-26 00:00:00,merch_0025
acct_0004,acct_0000,308.07,2024-06-04 00:00:00,merch_0121
acct_0004,acct_0001,373.34,2024-11-16 00:00:00,merch_0066
acct_0004,acct_0003,1877.32,2024-06-11 00:00:00,merch_0088
acct_0004,acct_0007,1933.61,2024-02-12 00:00:00,merch_0147
acct_0005,acct_0000,1368.44,2023-12-24 00:00:00,merch_0199
acct_0005,acct_0003,1594.54,2025-07-04 00:00:00,merch_0020
acct_0005,acct_0007,460.73,2023-12-10 00:00:00,merch_0163
acct_0006,acct_0000,807.3,2025-04-08 00:00:00,merch_0018
acct_0006,acct_0004,1478.78,2025-03-20 00:00:00,merch_0069
acct_0006,acct_0005,1605.75,2025-01-13 00:00:00,merch_0191
acct_0006,acct_0007,1937.95,2025-04-27 00:00:00,merch_0042
acct_0007,acct_0002,1391.64,2023-06-13 00:00:00,merch_0053
acct_0007,acct_0006,1187.18,2023-02-23 00:00:00,merch_0197
acct_0008,acct_0010,1793.85,2024-09-25 00:00:00,merch_0058
